H1,H2,PFR1,PFR2
850,105,5000,3500
1100,105,3500,3250
1100,105,3750,3000
1100,105,4000,2750
1100,105,4250,2500
1100,105,4500,2250
1100,105,4750,2000
1250,105,2000,4000
1250,105,2250,3750
1250,105,2500,3500
1250,105,2750,3250
1250,105,3000,3000
1250,105,3250,2750
1250,105,3500,2500
1250,105,3750,2250
1250,105,4000,2000
1250,105,4250,1750
1250,105,4500,1500
1250,105,2000,4000
1250,105,1750,4250
1250,105,1500,4500
1250,105,1250,4750
1250,105,1000,5000
1600,105,3000,1750
1600,105,3250,1500
1700,105,1000,3500
1700,105,1250,3250
1800,105,2250,2000
1800,105,2500,1750
1800,105,2750,1500
1800,105,3000,1250
1800,105,3250,1000
850,110,4750,3750
850,110,4500,4000
850,110,4250,4250
850,110,4000,4500
850,110,3750,4750
850,110,3500,5000
900,110,5000,3000
1100,110,2750,4000
1100,110,3000,3750
1100,110,3250,3500
1100,110,2750,4000
1100,110,2500,4250
1100,110,2250,4500
1100,110,2000,4750
1100,110,1750,5000
1300,110,4250,1500
1300,110,4500,1250
1300,110,4750,1000
1600,110,1000,3750
1600,110,1250,3500
1600,110,1500,3250
1600,110,1750,3000
1600,110,2000,2750
1600,110,2250,2500
1600,110,2500,2250
1600,110,2750,2000
1600,110,3500,1250
1600,110,3750,1000
1800,110,1000,3250
1800,110,1250,3000
1800,110,1500,2750
1800,110,1750,2500
1800,110,2000,2250
2050,110,1000,2750
2050,110,1250,2500
2050,110,1500,2250
2050,110,1750,2000
2050,110,2000,1750
2050,110,2250,1500
2050,110,2500,1250
2050,110,2750,1000
750,115,5000,4500
750,115,4750,4750
800,115,5000,4000
800,115,4750,4250
800,115,4500,4500
800,115,4250,4750
800,115,4000,5000
900,115,4250,3750
900,115,4500,3500
900,115,4750,3250
900,115,4000,4000
900,115,3750,4250
900,115,3500,4500
1050,115,3000,4000
1050,115,3250,3750
1050,115,3500,3500
1050,115,3750,3250
1050,115,4000,3000
1050,115,4250,2750
1050,115,4500,2500
1050,115,4750,2250
1050,115,5000,2000
1050,115,3000,4000
1050,115,2750,4250
1050,115,2500,4500
1050,115,2250,4750
1050,115,2000,5000
1300,115,1750,4000
1300,115,2000,3750
1300,115,2250,3500
1300,115,2500,3250
1300,115,2750,3000
1300,115,3000,2750
1300,115,3250,2500
1300,115,3500,2250
1300,115,3750,2000
1300,115,4000,1750
1300,115,1750,4000
1300,115,1500,4250
1300,115,1250,4500
1300,115,1000,4750
2200,115,1000,2500
2200,115,1250,2250
2200,115,1500,2000
2200,115,1750,1750
2200,115,2000,1500
2200,115,2250,1250
2200,115,2500,1000
700,120,5000,5000
750,120,4500,5000
900,120,3250,4750
900,120,3000,5000
1000,120,3250,4000
1000,120,3750,3500
1000,120,4000,3250
1000,120,4250,3000
1000,120,4500,2750
1000,120,4750,2500
1000,120,5000,2250
1000,120,3250,4000
1000,120,3000,4250
1000,120,2750,4500
1000,120,2500,4750
1000,120,2250,5000
1500,120,3000,2000
1500,120,3250,1750
